penalty_id,match_id,match_date,penalty_team,opponent_team,penalty_context,shootout_condition,shooter,shooter_foot,goalkeeper,shot_horizontal,shot_vertical,keeper_direction,penalty_type,outcome,video_source,competition
ecddb099-5f5b-41c5-bfec-f26cb55a75a4,2026-05-24_EASTERN-DISTRICT_GOLIK-NORTH-DISTRICT,24 MAY 2026,Golik North District,Eastern District,SHOOTOUT,NORMAL,SOARES DOS SANTOS Vinicius,RIGHT,DA SILVA ARGOLO Paulo Cesar,RIGHT,LOW,RIGHT,NORMAL,SAVED,https://www.hkfa.com/en/competitions/result/49643/detail,FA Cup
46837-1,2025-09-10_KC-SOUTHERN_TAI-PO,10 SEP 2025,Tai Po,KC Southern,IN_MATCH,,PERAL DE LIMA Patrick,RIGHT,NG Wai Him,LEFT,LOW,LEFT,HESITATION,GOAL,https://www.hkfa.com/en/competitions/result/46837/detail,Senior Shield
46838-0,2025-09-27_EASTERN_HKFC,27 SEP 2025,Eastern,HKFC,IN_MATCH,,OKUBO Yu,RIGHT,WONG Tsz Chung,LEFT,LOW,LEFT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/46838/detail,Senior Shield
46841-2,2025-09-28_GOLIK-NORTH-DISTRICT_KITCHEE,28 SEP 2025,Kitchee,Golik North District,IN_MATCH,,REVILLA VALCARCEL Adrian,RIGHT,CHUNG Hoi Man,RIGHT,LOW,LEFT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/46841/detail,Senior Shield
46841-3,2025-09-28_GOLIK-NORTH-DISTRICT_KITCHEE,28 SEP 2025,Golik North District,Kitchee,IN_MATCH,,CONSTANCIO PEREIRA Weverton Guilherme,RIGHT,WANG Zhenpeng,RIGHT,LOW,LEFT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/46841/detail,Senior Shield
47579-28,2025-09-26_LEE-MAN_TAI-PO,26 SEP 2025,Tai Po,Lee Man,SHOOTOUT,NORMAL,AZEVEDO PEDREIRA Fernando Augusto,LEFT,LEUNG Hing Kit,RIGHT,HIGH,RIGHT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/47579/detail,Senior Shield
47579-30,2025-09-26_LEE-MAN_TAI-PO,26 SEP 2025,Lee Man,Tai Po,SHOOTOUT,NORMAL,SEVERO BURKATT Mikael,RIGHT,TSE Ka Wing,RIGHT,LOW,RIGHT,NORMAL,SAVED,,Senior Shield
47579-29,2025-09-27_LEE-MAN_TAI-PO,27 SEP 2025,Tai Po,Lee Man,SHOOTOUT,NORMAL,LOPES ANTUNES Michel Renner,RIGHT,LEUNG Hing Kit,LEFT,HIGH,RIGHT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/47579/detail,Senior Shield
47579-30,2025-09-27_LEE-MAN_TAI-PO,27 SEP 2025,Lee Man,Tai Po,SHOOTOUT,NORMAL,BRAUNSHTAIN Barak,RIGHT,TSE Ka Wing,LEFT,HIGH,LEFT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/47579/detail,Senior Shield
47579-28,2025-09-26_LEE-MAN_TAI-PO,26 SEP 2025,Tai Po,Lee Man,SHOOTOUT,NORMAL,CHAN Siu Kwan Philip,RIGHT,LEUNG Hing Kit,LEFT,HIGH,LEFT,NORMAL,MISSED,https://www.hkfa.com/en/competitions/result/47579/detail,Senior Shield
47579-281,2025-09-26_LEE-MAN_TAI-PO,26 SEP 2025,Lee Man,Tai Po,SHOOTOUT,NORMAL,TACHIBANA Ryoya,LEFT,TSE Ka Wing,RIGHT,LOW,RIGHT,NORMAL,MISSED,,Senior Shield
